domain;country;visibility_index
http://doi.apa.org/;sk;0.0
http://doi.apa.org/;tr;0.0
http://doi.apa.org/;uk;0.0141
http://doi.apa.org/;us;0.0008
http://envjournal.ru/;at;0.0
http://envjournal.ru/;au;0.0
http://envjournal.ru/;be;0.0
http://envjournal.ru/;bg;0.0
http://envjournal.ru/;br;0.0
http://envjournal.ru/;ca;0.0
http://envjournal.ru/;ch;0.0
http://envjournal.ru/;cz;0.0
http://envjournal.ru/;de;0.0
http://envjournal.ru/;dk;0.0
http://envjournal.ru/;es;0.0
http://envjournal.ru/;fi;0.0
http://envjournal.ru/;fr;0.0
http://envjournal.ru/;gr;0.0
http://envjournal.ru/;hr;0.0
http://envjournal.ru/;hu;0.0
http://envjournal.ru/;ie;0.0
http://envjournal.ru/;it;0.0
http://envjournal.ru/;jp;0.0
http://envjournal.ru/;nl;0.0
http://envjournal.ru/;no;0.0
http://envjournal.ru/;pl;0.0
http://envjournal.ru/;pt;0.0
http://envjournal.ru/;ro;0.0
http://envjournal.ru/;se;0.0
http://envjournal.ru/;si;0.0
http://envjournal.ru/;sk;0.0
http://envjournal.ru/;tr;0.0
http://envjournal.ru/;uk;0.0
http://envjournal.ru/;us;0.0
http://eprints.lincoln.ac.uk/;at;0.0004
http://eprints.lincoln.ac.uk/;au;0.0
http://eprints.lincoln.ac.uk/;be;0.0
http://eprints.lincoln.ac.uk/;bg;0.0
http://eprints.lincoln.ac.uk/;br;0.0
http://eprints.lincoln.ac.uk/;ca;0.0
http://eprints.lincoln.ac.uk/;ch;0.0009
http://eprints.lincoln.ac.uk/;cz;0.0
http://eprints.lincoln.ac.uk/;de;0.0008
http://eprints.lincoln.ac.uk/;dk;0.0
http://eprints.lincoln.ac.uk/;es;0.0
http://eprints.lincoln.ac.uk/;fi;0.0
http://eprints.lincoln.ac.uk/;fr;0.0
http://eprints.lincoln.ac.uk/;gr;0.0
http://eprints.lincoln.ac.uk/;hr;0.0
http://eprints.lincoln.ac.uk/;hu;0.0
http://eprints.lincoln.ac.uk/;ie;0.0
http://eprints.lincoln.ac.uk/;it;0.0011
http://eprints.lincoln.ac.uk/;jp;0.0
http://eprints.lincoln.ac.uk/;nl;0.0001
http://eprints.lincoln.ac.uk/;no;0.0
http://eprints.lincoln.ac.uk/;pl;0.0001
http://eprints.lincoln.ac.uk/;pt;0.0
http://eprints.lincoln.ac.uk/;ro;0.0
http://eprints.lincoln.ac.uk/;se;0.0006
http://eprints.lincoln.ac.uk/;si;0.0068
http://eprints.lincoln.ac.uk/;sk;0.0
http://eprints.lincoln.ac.uk/;tr;0.0001
http://eprints.lincoln.ac.uk/;uk;0.0223
http://eprints.lincoln.ac.uk/;us;0.001
http://esdcdoi.esac.esa.int/;at;0.0
http://esdcdoi.esac.esa.int/;au;0.0
http://esdcdoi.esac.esa.int/;be;0.0
http://esdcdoi.esac.esa.int/;bg;0.0
http://esdcdoi.esac.esa.int/;br;0.0
http://esdcdoi.esac.esa.int/;ca;0.0
http://esdcdoi.esac.esa.int/;ch;0.0
http://esdcdoi.esac.esa.int/;cz;0.0
