domain,category,h_index
https://onlinelibrary.wiley.com/,economic,1
https://onlinelibrary.wiley.com/,social,1
https://open-research-data.zalf.de/,social,0
https://open.flinders.edu.au/,economic,0
https://open.flinders.edu.au/,social,1
https://opencontext.org/,social,1
https://opendata.pku.edu.cn/,economic,1
https://opendata.pku.edu.cn/,social,2
https://openresearch.lsbu.ac.uk/,social,0
https://ora.ox.ac.uk/,social,0
https://ordar.otelo.univ-lorraine.fr/,social,0
https://ore.exeter.ac.uk/,economic,0
https://ore.exeter.ac.uk/,social,1
https://orthomedia.cadmore.media/,economic,0
https://orthomedia.cadmore.media/,social,1
https://osf.io/,economic,0
https://osf.io/,social,1
https://oxfordbibliographies.com/,economic,3
https://oxfordbibliographies.com/,social,6
https://pancreapedia.org/,economic,1
https://pancreapedia.org/,social,1
https://pdxscholar.library.pdx.edu/,economic,0
https://pdxscholar.library.pdx.edu/,social,0
https://pearl.plymouth.ac.uk/,social,0
https://peerj.com/,economic,0
https://peerj.com/,social,1
https://phon.talkbank.org/,social,0
https://physh.org/,economic,1
https://physh.org/,social,5
https://planetary-data-portal.org/,social,0
https://portal.edirepository.org/,economic,0
https://portal.edirepository.org/,social,0
https://primarysources.brillonline.com/,economic,11
https://primarysources.brillonline.com/,social,18
https://primordialscoop.org/,social,0
https://prism.ucalgary.ca/,social,0
https://psycnet.apa.org:443/,economic,8
https://psycnet.apa.org:443/,social,23
https://public.tableau.com/,economic,0
https://publikationen.bibliothek.kit.edu/,economic,0
https://publons.com/,economic,0
https://publons.com/,social,0
https://pubs.aip.org/,economic,0
https://pubs.aip.org/,social,0
https://pubs.rsna.org/,economic,0
https://pubs.rsna.org/,social,1
https://pubsonline.informs.org/,economic,0
https://pubsonline.informs.org/,social,0
https://pure.iiasa.ac.at/,economic,0
https://pure.iiasa.ac.at/,social,1
https://purr.purdue.edu/,social,0
https://qmro.qmul.ac.uk/,social,1
https://quod.lib.umich.edu/,economic,0
https://quod.lib.umich.edu/,social,0
https://raciocinioclinico.com.br/,social,0
https://rda.ucar.edu/,social,2
https://referenceworks.brillonline.com/,economic,74
https://referenceworks.brillonline.com/,social,98
https://refubium.fu-berlin.de/,economic,0
https://refubium.fu-berlin.de/,social,1
https://release.my.emsl.pnnl.gov/,social,0
https://religiouslibertyinthestates.com/,social,0
https://repisalud.isciii.es/,social,0
https://repositories.lib.utexas.edu/,social,0
https://repositorio.uc.cl/,social,0
https://repository.kaust.edu.sa/,social,1
https://repository.mines.edu/,social,0
https://repository.si.edu/,economic,0
https://repository.si.edu/,social,1
https://repository.tcu.edu/,economic,0
https://repository.tcu.edu/,social,0
https://repozitorij.ffzg.unizg.hr/,social,1
https://research-repository.griffith.edu.au/,economic,0
https://research-repository.griffith.edu.au/,social,0
https://research.jcu.edu.au/,social,0
https://research.repository.duke.edu/,economic,1
https://research.repository.duke.edu/,social,1
https://researchdata.bbk.ac.uk/,economic,0
https://researchdata.bbk.ac.uk/,social,0
https://researchdata.cab.unipd.it/,economic,0
https://researchdata.cab.unipd.it/,social,0
https://researchdata.gla.ac.uk/,social,0
https://researchdata.hhu.de/,social,0
https://researchdata.nie.edu.sg/,economic,0
https://researchdata.nie.edu.sg/,social,0
https://researchdata.ntu.edu.sg/,economic,1
https://researchdata.ntu.edu.sg/,social,1
https://researchdata.reading.ac.uk/,economic,2
https://researchdata.reading.ac.uk/,social,1
https://researchportal.port.ac.uk/,economic,0
https://researchportal.port.ac.uk/,social,0
https://reshare.ukdataservice.ac.uk/,economic,1
https://reshare.ukdataservice.ac.uk/,social,1
https://rex.libraries.wsu.edu/,social,0
https://rio.upo.es/,economic,0
https://rio.upo.es/,social,0
https://riubu.ubu.es/,economic,0
https://riubu.ubu.es/,social,1
https://riuma.uma.es/,economic,0
https://riuma.uma.es/,social,0
https://riunet.upv.es/,economic,1
https://riunet.upv.es/,social,0
https://roots.ornl.gov/,social,1
https://rs.figshare.com/,economic,0
https://rs.figshare.com/,social,0
https://rune.une.edu.au/,economic,0
https://rune.une.edu.au/,social,1
https://ruor.uottawa.ca/,economic,0
https://ruor.uottawa.ca/,social,0
https://salve.icmbio.gov.br/,economic,0
https://salve.icmbio.gov.br/,social,0
https://scholarlyeditions.brill.com/,economic,1
https://scholarlyeditions.brill.com/,social,1
https://scholarsbank.uoregon.edu/,social,0
https://scholarworks.boisestate.edu/,economic,1
https://scholarworks.boisestate.edu/,social,2
https://scholarworks.iu.edu/,social,0
https://scholarworks.sjsu.edu/,economic,0
https://scholarworks.sjsu.edu/,social,0
https://scholarworks.smith.edu/,economic,0
https://scholarworks.smith.edu/,social,1
https://scholarworks.wm.edu/,social,0
https://sciendo.com/,economic,0
https://sciendo.com/,social,0
https://sciendo.com:443/,economic,0
https://sciendo.com:443/,social,0
https://scripts.iucr.org/,social,0
https://search.dataone.org/,social,0
https://search.gesis.org/,economic,0
https://search.gesis.org/,social,2
https://sedac.ciesin.columbia.edu/,economic,1
